id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-018,Funcional,Must,HU-004,CU-004,RutaController,PUT /api/rutas/{id},RutaServiceTest,CRUD-ORM,,verificado
REQ-F-019,Funcional,Must,HU-004,CU-004,RutaController,DELETE /api/rutas/{id},RutaServiceTest,CRUD-ORM,,verificado
REQ-F-020,Funcional,Must,HU-005,CU-005,VehiculoController,GET /api/vehiculos,VehiculoServiceTest,CRUD-ORM,,verificado
REQ-F-021,Funcional,Must,HU-005,CU-005,VehiculoController,GET /api/vehiculos/{id},VehiculoServiceTest,CRUD-ORM,,verificado
REQ-F-022,Funcional,Must,HU-005,CU-005,VehiculoController,POST /api/vehiculos,VehiculoServiceTest,CRUD-ORM,,verificado
REQ-F-023,Funcional,Must,HU-005,CU-005,VehiculoController,PUT /api/vehiculos/{id},VehiculoServiceTest,CRUD-ORM,,verificado
REQ-F-024,Funcional,Must,HU-005,CU-005,VehiculoController,DELETE /api/vehiculos/{id},VehiculoServiceTest,CRUD-ORM,,verificado
REQ-F-025,Funcional,Must,HU-006,CU-006,AsignacionRutaController,GET /api/asignaciones,AsignacionRutaServiceTest,CRUD-ORM,,verificado
REQ-F-026,Funcional,Must,HU-006,CU-006,AsignacionRutaController,GET /api/asignaciones/{id},AsignacionRutaServiceTest,CRUD-ORM,,verificado
REQ-F-027,Funcional,Must,HU-006,CU-006,AsignacionRutaController,POST /api/asignaciones,AsignacionRutaServiceTest,CRUD-ORM,,verificado
REQ-F-028,Funcional,Must,HU-006,CU-006,AsignacionRutaController,PUT /api/asignaciones/{id},AsignacionRutaServiceTest,CRUD-ORM,,verificado
REQ-F-029,Funcional,Must,HU-006,CU-006,AsignacionRutaController,DELETE /api/asignaciones/{id},AsignacionRutaServiceTest,CRUD-ORM,,verificado
REQ-F-030,Funcional,Must,HU-007,CU-006,IncidenteController,GET /api/incidentes,IncidenteServiceTest,CRUD-ORM,,verificado
REQ-F-031,Funcional,Must,HU-007,CU-006,IncidenteController,GET /api/incidentes/{id},IncidenteServiceTest,CRUD-ORM,,verificado
REQ-F-032,Funcional,Must,HU-007,CU-006,IncidenteController,POST /api/incidentes,IncidenteServiceTest,CRUD-ORM,,verificado
REQ-F-033,Funcional,Must,HU-007,CU-006,IncidenteController,PUT /api/incidentes/{id},IncidenteServiceTest,CRUD-ORM,,verificado
REQ-F-034,Funcional,Must,HU-007,CU-006,IncidenteController,DELETE /api/incidentes/{id},IncidenteServiceTest,CRUD-ORM,,verificado
REQ-F-035,Funcional,Should,HU-008,,ReportesController,GET /api/reportes/rendimiento-rutas,ReportesServiceTest,SP,docs/mediciones/sec/sp-rendimiento.txt,verificado
REQ-F-036,Funcional,Should,HU-008,,ReportesController,GET /api/reportes/estadisticas-generales,ReportesServiceTest,FN,,verificado
REQ-F-037,Funcional,Should,HU-008,,ReportesController,GET /api/reportes/licencias-por-vencer,ReportesServiceTest,FN,,verificado
REQ-F-038,Funcional,Should,HU-008,,ReportesController,GET /api/reportes/incidentes-por-gravedad,ReportesServiceTest,SP,,verificado
REQ-F-039,Funcional,Should,HU-008,,ReportesController,GET /api/reportes/incidentes-por-rango,ReportesServiceTest,SP,,verificado
REQ-F-040,Funcional,Should,HU-006,,ReportesController,GET /api/reportes/asignaciones-activas-conductor,ReportesServiceTest,SP,,verificado
REQ-NF-001,No funcional,Must,,,SecurityConfig,,,CRUD-ORM,docs/mediciones/sec/A05-headers.txt,verificado
REQ-NF-002,No funcional,Must,,,SecurityConfig,,,CRUD-ORM,docs/mediciones/sec/A02-criptografia.txt,verificado
REQ-NF-003,No funcional,Must,,,ConductorController,GET /api/conductores,ConductorServiceTest,CRUD-ORM,docs/mediciones/perf/k01-run1.json,verificado
REQ-NF-004,No funcional,Must,,,GlobalExceptionHandler,,,CRUD-ORM,docs/mediciones/sec/A03-inyeccion.txt,verificado
REQ-NF-005,No funcional,Must,,,AuthController,POST /api/auth/login,,CRUD-ORM,docs/mediciones/sec/A07-rate-limit.txt,verificado
REQ-NF-006,No funcional,Should,,,Backend,,,CRUD-ORM,docs/mediciones/jacoco/jacoco.xml,verificado
REQ-NF-007,No funcional,Should,,,Backend,GET /api/docs,,CRUD-ORM,,verificado
REQ-NF-008,No funcional,Must,,,GlobalExceptionHandler,,,CRUD-ORM,,verificado
REQ-NF-009,No funcional,Must,,,SecurityConfig,,,CRUD-ORM,,verificado
REQ-NF-010,No funcional,Must,,,SecurityConfig,,,CRUD-ORM,,verificado
